chapter,verse,speaker,sanskrit,translation,question,augmented_response
1,12,सञ्जय,तस्य संजनयन्हर्षं कुरुवृद्धः पितामहः| सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान्  || 1.12 || ,"His glorious grandsire, the oldest of the Kauravas, roared like a lion to cheer Duryodhana and blew his conch.",What did Bhishma do to cheer up Duryodhana during the Mahabharata war?,"According to Bhagavad Gita, Chapter 1, Verse 12, Bhishma blew his conch to cheer up Duryodhana.

The sloka associated with this answer is:
तस्य संजनयन्हर्षं कुरुवृद्धः पितामहः| सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान्  || 1.12 || "
1,13,सञ्जय,ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः| सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत्  || 1.13 || ,"Then, suddenly, conches, kettledrums, tabors, drums, and cow horns blared forth from the Kaurava side, and the sound was tremendous.",What happened after Bhishma blew his conch?,"According to the Bhagavad Gita, Chapter 1, Verse 13, after Bhishma blew his conch, the other warriors on the Kaurava side also blew their respective instruments, including conches, kettledrums, tabors, drums, and cow horns, creating a tremendous sound.

The sloka associated with this answer is:
ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः| सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत्  || 1.13 || "
1,14,सञ्जय,ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ| माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः  || 1.14 || ,"Then, Madhava (Krishna) and the son of Pandu (Arjuna), seated in the magnificent chariot yoked with white horses, blew divine conches.",Who was the first person from the Pandava side to blow the conch?,"According to Bhagavad Gita Chapter 1, Verse 14, it was Arjuna, the son of Pandu, who blew the divine conch along with Krishna, seated in the magnificent chariot yoked with white horses.

The sloka associated with this answer is:
ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ| माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः  || 1.14 || "
1,15,सञ्जय,पाञ्चजन्यं हृषीकेशो देवदत्तं धनंजयः| पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः  || 1.15 || ,"Hrishikesha blew the Panchajanya, Arjuna blew the Devadatta, and Bhima, the wolf-bellied doer of terrible deeds, blew the great conch Paundra.","What were the names of the conches of Krishna, Arjuna and Bhima?","According to the provided verse, the names of the conches are:

* Krishna's: Panchajanya
* Arjuna's: Devadatta
* Bhima's: Paundra

The sloka associated with this answer is:
पाञ्चजन्यं हृषीकेशो देवदत्तं धनंजयः| पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः  || 1.15 || "
1,16,सञ्जय,अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः| नकुलः सहदेवश्च सुघोषमणिपुष्पकौ  || 1.16 || ,"King Yudhishthira, the son of Kunti, blew the Anantavijaya; Nakula and Sahadeva blew the Sughosha and the Manipushpaka.","What were the names of the conches of Yudhisthira, Nakula and Sahadeva?","According to Bhagavad Gita, Chapter 1, Verse 16, the names of the conches blown by Yudhishthira, Nakula, and Sahadeva are:

* Yudhishthira: Anantavijaya
* Nakula: Sughosha
* Sahadeva: Manipushpaka

The sloka associated with this answer is:
अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः| नकुलः सहदेवश्च सुघोषमणिपुष्पकौ  || 1.16 || "
1,17,सञ्जय,काश्यश्च परमेष्वासः शिखण्डी च महारथः| धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः  || 1.17 || ,"The king of Kasi, an excellent archer, Sikhandi, the mighty car-warrior, Dhrishtadyumna, Virata, and Satyaki, the unconquered.",Who else fought from the Pandava side?,"According to the given reference (Chapter 1, Verse 17, Speaker: सञ्जय), the following warriors fought from the Pandava side: 

1. Sikhandi 
2. Dhrishtadyumna 
3. Virata 
4. Satyaki

The sloka associated with this answer is:
काश्यश्च परमेष्वासः शिखण्डी च महारथः| धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः  || 1.17 || "
1,18,सञ्जय,द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते| सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक्  || 1.18 || ,"Drupada and the sons of Draupadi, O Lord of the Earth, and the son of Subhadra, the mighty-armed, blew their conches each separately.",Who else from the Pandava side blow their conch?,"According to Bhagavad Gita, Chapter 1, Verse 18, the speaker Sanjaya mentions that besides Drupada and the sons of Draupadi, the mighty-armed son of Subhadra (Arjuna) blew his conch separately.

The sloka associated with this answer is:
द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते| सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक्  || 1.18 || "
1,19,सञ्जय,स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत्| नभश्च पृथिवीं चैव तुमुलो व्यनुनादयन्  || 1.19 || ,"The tumultuous sound rent the hearts of Dhritarashtra's party, reverberating through both heaven and earth.",What was the reaction of Kauravas after the Pandava side blew their conches?,"According to Chapter 1, Verse 19, the reaction of Dhritarashtra's party (Kauravas) was that the tumultuous sound of the conches blew by the Pandavas rent their hearts, causing it to reverberate through both heaven and earth.

The sloka associated with this answer is:
स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत्| नभश्च पृथिवीं चैव तुमुलो व्यनुनादयन्  || 1.19 || "
1,20,सञ्जय,अथ व्यवस्थितान् दृष्ट्वा धार्तराष्ट्रान्कपिध्वजः| प्रवृत्ते शस्त्रसंपाते धनुरुद्यम्य पाण्डवः  || 1.20 || ,"Then, seeing the people of Dhritarashtra's party standing arrayed and the discharge of weapons about to begin, Arjuna, the son of Pandu whose ensign was a monkey, took up his bow and said the following to Krishna, O Lord of the Earth.",What was depicted on Arjuna's chariot flag?,"According to the provided context, Arjuna's chariot flag featured an ensign of a monkey (सञ्जय).

The sloka associated with this answer is:
अथ व्यवस्थितान् दृष्ट्वा धार्तराष्ट्रान्कपिध्वजः| प्रवृत्ते शस्त्रसंपाते धनुरुद्यम्य पाण्डवः  || 1.20 || "
1,21,अर्जुन,हृषीकेशं तदा वाक्यमिदमाह महीपते| सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत  || 1.21 || ,"Arjuna said, ""O Krishna, place my chariot in the middle between the two armies, so that I may behold those who stand here, desirous to fight, and know with whom I must fight when the battle is about to commence.""",What did Arjuna first ask Krishna to do in the Mahabharata war?,"Arjuna first asked Krishna to place his chariot between the two armies, so that he could behold his enemies and know with whom he would fight.

The sloka associated with this answer is:
हृषीकेशं तदा वाक्यमिदमाह महीपते| सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत  || 1.21 || "
1,22,अर्जुन,यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान्| कैर्मया सह योद्धव्यमस्मिन्रणसमुद्यमे  || 1.22 || ,"Arjuna said, ""O Krishna, place my chariot in the middle between the two armies, so that I may behold those who stand here, desirous to fight, and know with whom I must fight when the battle is about to commence.""",Why did Arjuna want Krishna to draw his chariot between the two armies?,"According to Bhagavad Gita, Chapter 1, Verse 22, Arjuna wanted Krishna to draw his chariot between the two armies so that he could ""behold those who stand here, desirous to fight"" and ""know with whom I must fight when the battle is about to commence"". In other words, Arjuna wanted to get a clear view of the opposing forces and identify his enemies before the battle began.

The sloka associated with this answer is:
यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान्| कैर्मया सह योद्धव्यमस्मिन्रणसमुद्यमे  || 1.22 || "
1,23,अर्जुन,योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः| धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः  || 1.23 || ,"For I desire to observe those who are assembled here to fight, wishing to please in battle the evil-minded Duryodhana—the son of Dhritarashtra.",What did Arjuna want to observe at the beginning of the war?,"At the beginning of the war, Arjuna wanted to observe those who are assembled here to fight.

The sloka associated with this answer is:
योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः| धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः  || 1.23 || "
1,24,संजय,एवमुक्तो हृषीकेशो गुडाकेशेन भारत| सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम्  || 1.24 || ,"Sanjaya said, Thus addressed by Arjuna, Krishna stationed the best of chariots, O Dhritarashtra, in the midst of the two armies.",Where did Krishna place the chariot?,"According to Sanjaya's narration in Bhagavad Gita Chapter 1, Verse 24, Krishna stationed the chariot in the midst of the two armies.

The sloka associated with this answer is:
एवमुक्तो हृषीकेशो गुडाकेशेन भारत| सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम्  || 1.24 || "
1,25,संजय,भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम्| उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति  || 1.25 || ,"In front of Bhishma and Drona, and all the rulers of the earth, he said: ""O Arjuna, son of Pritha, behold these Kurus gathered together.""",In front of whom did Krishna place the chariot?,"According to Bhagavad Gita, Chapter 1, Verse 25, Sanjaya states: ""In front of Bhishma and Drona, and all the rulers of the earth...""

The sloka associated with this answer is:
भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम्| उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति  || 1.25 || "
1,26,संजय,तत्रापश्यत्स्थितान्पार्थः पितृ़नथ पितामहान्| आचार्यान्मातुलान्भ्रातृ़न्पुत्रान्पौत्रान्सखींस्तथा  || 1.26 || ,"Then, Arjuna (son of Pritha) saw there (in the armies) stationed fathers, grandfathers, teachers, maternal uncles, brothers, sons, grandsons, and friends.",Which relatives did Arjuna see on the other side in the war?,"According to Bhagavad Gita Chapter 1, Verse 26, Arjuna saw his ""fathers, grandfathers, teachers, maternal uncles, brothers, sons, grandsons, and friends"" on the other side in the war.

The sloka associated with this answer is:
तत्रापश्यत्स्थितान्पार्थः पितृ़नथ पितामहान्| आचार्यान्मातुलान्भ्रातृ़न्पुत्रान्पौत्रान्सखींस्तथा  || 1.26 || "
1,27,संजय,श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि| तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान्  || 1.27 || ,"He saw fathers-in-law and friends in both the armies. The son of Kunti, Arjuna, seeing all those kinsmen thus standing arrayed, spoke sorrowfully, deeply filled with pity.",Whom did Arjuna see when Krishna placed his chariot in the middle of the two armies?,"According to Chapter 1, Verse 27 of the Bhagavad Gita, Arjuna saw his fathers-in-law (Dhritarashtra's sons, the Kauravas) and friends standing arrayed on both sides of the battlefield.

The sloka associated with this answer is:
श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि| तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान्  || 1.27 || "
1,28,अर्जुन,कृपया परयाऽऽविष्टो विषीदन्निदमब्रवीत्| दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम्  || 1.28 || ,"Arjuna said, ""O Krishna, seeing my kinsmen arrayed here, eager to fight,",Seeing whom did Arjuna become emotional during the war?,"According to Bhagavad Gita, Chapter 1, Verse 28, Arjuna became emotional seeing his kinsmen, specifically his relatives, arrayed on the opposite side of the battlefield, eager to fight.

The sloka associated with this answer is:
कृपया परयाऽऽविष्टो विषीदन्निदमब्रवीत्| दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम्  || 1.28 || "
1,29,अर्जुन,सीदन्ति मम गात्राणि मुखं च परिशुष्यति| वेपथुश्च शरीरे मे रोमहर्षश्च जायते  || 1.29 || ,"My limbs fail, my mouth is parched, my body quivers, and my hair stands on end.",What happened to Arjuna's limbs when he saw so many relatives in the enemy's army?,"According to Bhagavad Gita Chapter 1, Verse 29, Arjuna's limbs failed, his mouth was parched, his body quivered, and his hair stood on end when he saw his relatives in the enemy's army.

The sloka associated with this answer is:
सीदन्ति मम गात्राणि मुखं च परिशुष्यति| वेपथुश्च शरीरे मे रोमहर्षश्च जायते  || 1.29 || "
1,30,अर्जुन,गाण्डीवं स्रंसते हस्तात्त्वक्चैव परिदह्यते| न च शक्नोम्यवस्थातुं भ्रमतीव च मे मनः  || 1.30 || ,"The Gandiva slips from my hand, and my skin burns all over; I am unable to stand, and my mind is reeling, as it were.",What happened to Arjuna's bow when he saw so many relatives in the enemy's army?,"According to Chapter 1, Verse 30 of the Bhagavad Gita, Arjuna's bow, Gandiva, slipped from his hand, and he was unable to stand due to the overwhelming sight of his relatives in the enemy's army.

The sloka associated with this answer is:
गाण्डीवं स्रंसते हस्तात्त्वक्चैव परिदह्यते| न च शक्नोम्यवस्थातुं भ्रमतीव च मे मनः  || 1.30 || "
1,31,अर्जुन,निमित्तानि च पश्यामि विपरीतानि केशव| न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे  || 1.31 || ,"And I see ill omens, O Kesava. I do not see any good in slaying my kinsmen in battle.",What was Arjuna's reaction when he saw so many relatives in the enemy's army?,"According to Bhagavad Gita, Chapter 1, Verse 31, Arjuna's reaction was that he saw ill omens and did not see any good in slaying his kinsmen in battle.

The sloka associated with this answer is:
निमित्तानि च पश्यामि विपरीतानि केशव| न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे  || 1.31 || "
1,32,अर्जुन,न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च| किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा  || 1.32 || ,"I desire not victory, O Krishna, nor kingdom, nor pleasures.
What use is dominion to us, O Krishna, or pleasures or even life?",Where in the Gita does Arjuna say that he has no desire for empire or victory?,"According to the Bhagavad Gita, Chapter 1, Verse 32, it is Arjuna who says: ""I desire not victory, O Krishna, nor kingdom, nor pleasures."" This verse specifically mentions Arjuna's lack of desire for empire or victory.

The sloka associated with this answer is:
न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च| किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा  || 1.32 || "
1,33,अर्जुन,येषामर्थे काङ्क्षितं नो राज्यं भोगाः सुखानि च| त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च  || 1.33 || ,"Those for whose sake we desire kingdom, enjoyments, and pleasures stand here in battle, having renounced life and wealth.",Why did Arjuna say that he has no desire for victory or the empire?,"Arjuna did not say he has no desire for victory or the empire. The verse actually states that those who stand on his side in battle, desiring kingdom, enjoyments, and pleasures, have renounced life and wealth.

The sloka associated with this answer is:
येषामर्थे काङ्क्षितं नो राज्यं भोगाः सुखानि च| त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च  || 1.33 || "
1,34,अर्जुन,आचार्याः पितरः पुत्रास्तथैव च पितामहाः| मातुलाः श्चशुराः पौत्राः श्यालाः सम्बन्धिनस्तथा  || 1.34 || ,"Teachers, fathers, sons, and grandfathers, maternal uncles, fathers-in-law, grandsons, brothers-in-law, and other relatives—",What did Arjuna say about the way teachers and relatives are to be treated?,"According to Bhagavad Gita, Chapter 1, Verse 34, Arjuna said that teachers, fathers, sons, and grandfathers, maternal uncles, fathers-in-law, grandsons, brothers-in-law, and other relatives are to be treated with indifference, without any attachment or affection, like enemies, while fighting the war.

The sloka associated with this answer is:
आचार्याः पितरः पुत्रास्तथैव च पितामहाः| मातुलाः श्चशुराः पौत्राः श्यालाः सम्बन्धिनस्तथा  || 1.34 || "
1,35,अर्जुन,एतान्न हन्तुमिच्छामि घ्नतोऽपि मधुसूदन| अपि त्रैलोक्यराज्यस्य हेतोः किं नु महीकृते  || 1.35 || ,"These I do not wish to kill, O Krishna, even though they kill me, for the sake of dominion over the three worlds; leave alone killing them for the sake of the earth.""",Where in the Gita does Arjuna say that he will not kill his relatives even if they kill him?,"According to Bhagavad Gita, Chapter 1, Verse 35, Arjuna says, ""These I do not wish to kill, O Krishna, even though they kill me, for the sake of dominion over the three worlds; leave alone killing them for the sake of the earth.""

In this verse, Arjuna explicitly states that he will not kill his relatives even if they were to kill him.

The sloka associated with this answer is:
एतान्न हन्तुमिच्छामि घ्नतोऽपि मधुसूदन| अपि त्रैलोक्यराज्यस्य हेतोः किं नु महीकृते  || 1.35 || "
1,36,अर्जुन,निहत्य धार्तराष्ट्रान्नः का प्रीतिः स्याज्जनार्दन| पापमेवाश्रयेदस्मान्हत्वैतानाततायिनः  || 1.36 || ,"By killing these sons of Dhritarashtra, what pleasure could be ours, O Janardana? Only sin would accrue to us from killing these felons.",What did Arjuna say will happen if he killed his own relatives?,"According to Bhagavad Gita, Chapter 1, Verse 36, Arjuna said that if he killed his own relatives, he would only incur sin.

The sloka associated with this answer is:
निहत्य धार्तराष्ट्रान्नः का प्रीतिः स्याज्जनार्दन| पापमेवाश्रयेदस्मान्हत्वैतानाततायिनः  || 1.36 || "
1,37,अर्जुन,तस्मान्नार्हा वयं हन्तुं धार्तराष्ट्रान्स्वबान्धवान्| स्वजनं हि कथं हत्वा सुखिनः स्याम माधव  || 1.37 || ,"Therefore, we should not kill the sons of Dhritarashtra, our relatives; for how can we be happy by killing our own kin, O Madhava (Krishna)?",What according to Arjuna is the effect of killing our own kin?,"According to Arjuna, killing our own kin would be a source of unhappiness.

The sloka associated with this answer is:
तस्मान्नार्हा वयं हन्तुं धार्तराष्ट्रान्स्वबान्धवान्| स्वजनं हि कथं हत्वा सुखिनः स्याम माधव  || 1.37 || "
1,38,अर्जुन,यद्यप्येते न पश्यन्ति लोभोपहतचेतसः| कुलक्षयकृतं दोषं मित्रद्रोहे च पातकम्  || 1.38 || ,"Though they, with intelligence overpowered by greed, see no evil in the destruction of families and no sin in hostility to friends,",What did Arjuna say about the nature of Kauravas?,"According to Bhagavad Gita, Chapter 1, Verse 38, Arjuna said that the Kauravas, with intelligence overpowered by greed, see no evil in the destruction of families and no sin in hostility to friends.

The sloka associated with this answer is:
यद्यप्येते न पश्यन्ति लोभोपहतचेतसः| कुलक्षयकृतं दोषं मित्रद्रोहे च पातकम्  || 1.38 || "
1,39,अर्जुन,कथं न ज्ञेयमस्माभिः पापादस्मान्निवर्तितुम्| कुलक्षयकृतं दोषं प्रपश्यद्भिर्जनार्दन  || 1.39 || ,"Why should we not, who clearly see the evil in the destruction of families, learn to turn away from this sin, O Janardana (Krishna)?",Why did Arjuna want to turn away from the battle?,"Based on Bhagavad Gita Chapter 1, Verse 39, Arjuna expresses his concern about the destruction of families and the evil that would result from the war, and asks Krishna why they should not turn away from this sin.

The sloka associated with this answer is:
कथं न ज्ञेयमस्माभिः पापादस्मान्निवर्तितुम्| कुलक्षयकृतं दोषं प्रपश्यद्भिर्जनार्दन  || 1.39 || "
1,40,अर्जुन,कुलक्षये प्रणश्यन्ति कुलधर्माः सनातनाः| धर्मे नष्टे कुलं कृत्स्नमधर्मोऽभिभवत्युत  || 1.40 || ,"In the destruction of a family, the immemorial religious rites of that family perish; on the destruction of spirituality, impiety indeed, overwhelms the whole family.",What did Arjuna say would happen to his family if he kills his own clan?,"According to Bhagavad Gita, Chapter 1, Verse 40, Arjuna said that if he kills his own clan, the traditional family rituals would perish, and impiety would overwhelm the entire family.

The sloka associated with this answer is:
कुलक्षये प्रणश्यन्ति कुलधर्माः सनातनाः| धर्मे नष्टे कुलं कृत्स्नमधर्मोऽभिभवत्युत  || 1.40 || "
